Name,IP Address,OperatingSystem,ComputerModel,Make,BiosInfo,ClientVersion,OSArchitecture,LastSyncTime,LastReportedStatusTime,LastStatusReport,Group,UpdateInstallationState
acc-008-d.pagoscontables.com,10.200.26.80,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4717,AMD64,10/2/2025 9:07:33 PM,10/2/2025 9:14:15 PM,,,
acc-006-d.pagoscontables.com,10.200.26.78,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4717,AMD64,10/14/2025 5:19:53 PM,10/14/2025 5:26:57 PM,,,
acc-011-d.pagoscontables.com,10.200.26.94,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4717,AMD64,3/10/2025 3:56:53 PM,3/10/2025 3:57:31 PM,,,
acc-002-d.pagoscontables.com,10.200.26.63,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.6093,AMD64,9/25/2025 6:06:37 AM,9/25/2025 6:14:46 AM,,,
acc-004-d.pagoscontables.com,10.200.26.51,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.5794,AMD64,9/29/2025 1:02:12 PM,9/29/2025 1:11:03 PM,,,
acc-009-d.pagoscontables.com,10.200.26.85,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4717,AMD64,9/30/2025 6:59:33 PM,9/30/2025 7:07:23 PM,,,
acc-014-d.pagoscontables.com,10.9.252.58,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,1407.2503.28012.0,AMD64,2/16/2026 2:06:07 PM,2/16/2026 2:14:13 PM,,,
acc-003-d.pagoscontables.com,10.200.26.26,,,Dell Inc.,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4717,AMD64,10/14/2025 11:07:31 AM,10/14/2025 11:15:36 AM,,,
acc-005-d.pagoscontables.com,10.200.26.71,,,Dell Inc.,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4717,AMD64,9/25/2025 7:27:23 AM,9/25/2025 7:35:29 AM,,,
acc-010-d.pagoscontables.com,10.200.26.48,,,Dell Inc.,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4717,AMD64,9/22/2025 10:25:28 PM,9/22/2025 10:32:00 PM,,,
acc-024-d,10.200.26.40,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.6093,AMD64,9/17/2025 6:15:06 PM,9/17/2025 6:29:15 PM,,,
fnc-003-d.pagoscontables.com,10.200.26.54,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4717,AMD64,8/12/2025 8:56:17 AM,8/12/2025 9:04:22 AM,,,
fnc-004-d.pagoscontables.com,172.26.200.25,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4717,AMD64,3/16/2026 4:16:37 PM,3/16/2026 4:24:44 PM,,,
fnc-005-d.pagoscontables.com,172.26.200.27,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.6093,AMD64,3/16/2026 3:04:30 PM,3/16/2026 3:13:15 PM,,,
acc-015-d.pagoscontables.com,10.200.26.53,,,Dell Inc.,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4717,AMD64,10/13/2025 1:56:07 PM,10/13/2025 2:01:08 PM,,,
fnc-008-d.pagoscontables.com,172.26.200.23,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4717,AMD64,3/16/2026 11:57:30 AM,3/16/2026 12:05:38 PM,,,
acc-013-d.pagoscontables.com,10.200.26.50,,,ASUSTeK COMPUTER INC.,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.6093,AMD64,9/25/2025 8:49:00 AM,9/25/2025 8:57:09 AM,,,
fnc-006-d.pagoscontables.com,172.26.200.29,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,1450.2506.28022.0,AMD64,3/16/2026 8:07:54 PM,3/16/2026 8:15:59 PM,,,
acc-016-d.pagoscontables.com,10.200.26.21,,,HP,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.3031,AMD64,8/22/2025 3:08:07 PM,8/22/2025 3:14:47 PM,,,
exchacc02.pagoscontables.com,172.26.0.167,,,"VMware, Inc.",Microsoft.UpdateServices.Administration.BiosInfo,10.0.17763.3532,AMD64,3/16/2026 12:48:49 AM,3/16/2026 12:56:52 AM,,,
fnc-011-d.pagoscontables.com,10.200.26.58,,,Dell Inc.,Microsoft.UpdateServices.Administration.BiosInfo,10.0.19041.4597,AMD64,8/21/2024 6:50:07 PM,8/21/2024 6:57:23 PM,,,
